year,value_bankruptcy,percentage_change_bankruptcy,value_euribor,percentage_change_euribor
2004,2428,-12.314915131816539,2.2737012333333335,-0.06279279999999954
2005,2278,-6.177924217462937,2.334136125,0.0604348916666666
2006,2285,0.30728709394205467,3.4363001166666667,1.1021639916666666
2007,2254,-1.3566739606126865,4.449691191666667,1.0133910750000004
2008,2615,16.01597160603372,4.813490291666667,0.3637990999999996
2009,3275,25.239005736137663,1.6178947666666668,-3.195595525
2010,2865,-12.51908396946565,1.350426125,-0.26746864166666673
2011,2948,2.897033158813267,2.0057463083333333,0.6553201833333333
2012,2980,1.085481682496603,1.110912975,-0.8948333333333334
2013,3131,5.067114093959724,0.536220425,-0.57469255
2014,2986,-4.631108272117535,0.47642830833333333,-0.05979211666666667
2015,2574,-13.797722705961156,0.16853176666666667,-0.3078965416666667
2016,2408,-6.449106449106445,-0.034409975,-0.20294174166666668
2017,2168,-9.966777408637872,-0.14520996666666666,-0.11079999166666665
2018,2546,17.435424354243544,-0.17291948333333332,-0.027709516666666656
2019,2623,3.024351924587587,-0.21547285833333332,-0.042553375000000004
2020,2135,-18.6046511627907,-0.303314225,-0.08784136666666667
2021,2472,15.784543325526922,-0.49060524166666664,-0.18729101666666664
2022,2654,7.362459546925559,1.0877005833333333,1.578305825
2023,3315,24.905802562170297,3.8646417166666667,2.7769411333333336
2024,3488,5.218702865761693,3.2743077916666667,-0.5903339249999999
2025,3906,11.983944954128445,2.222606125,-1.0517016666666668
