year,value,yearly_change,percentage_change
2003,2769,,
2004,2428,-341.0,-12.314915131816539
2005,2278,-150.0,-6.177924217462937
2006,2285,7.0,0.30728709394205467
2007,2254,-31.0,-1.3566739606126865
2008,2615,361.0,16.01597160603372
2009,3275,660.0,25.239005736137663
2010,2865,-410.0,-12.51908396946565
2011,2948,83.0,2.897033158813267
2012,2980,32.0,1.085481682496603
2013,3131,151.0,5.067114093959724
2014,2986,-145.0,-4.631108272117535
2015,2574,-412.0,-13.797722705961156
2016,2408,-166.0,-6.449106449106445
2017,2168,-240.0,-9.966777408637872
2018,2546,378.0,17.435424354243544
2019,2623,77.0,3.024351924587587
2020,2135,-488.0,-18.6046511627907
2021,2472,337.0,15.784543325526922
2022,2654,182.0,7.362459546925559
2023,3315,661.0,24.905802562170297
2024,3488,173.0,5.218702865761693
2025,3906,418.0,11.983944954128445
